GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,universum.studios.android.officium.service,BaseServiceObject,0,88,0,16,0,14,0,14,0,6
library,universum.studios.android.officium.service,SimpleEndPoint,0,9,0,0,0,4,0,2,0,2
library,universum.studios.android.officium.service,ServiceApiProvider,10,45,0,4,0,13,0,6,0,4
library,universum.studios.android.officium.service,ServiceManager.new EndPoint() {...},0,12,0,0,0,2,0,2,0,2
library,universum.studios.android.officium.service,ServiceCall,0,74,0,2,0,23,0,12,0,11
library,universum.studios.android.officium.service,ErrorResponse.Error,0,38,0,0,0,8,0,2,0,2
library,universum.studios.android.officium.service,ServiceManager.ServicesConfiguration,0,63,0,2,0,19,0,7,0,6
library,universum.studios.android.officium.service,ServiceManager,5,100,0,4,0,25,0,11,0,9
library,universum.studios.android.officium.service,ServiceCallback,0,56,0,4,0,15,0,5,0,3
library,universum.studios.android.officium.service,ServiceApi,0,16,0,0,0,5,0,3,0,3
library,universum.studios.android.officium.service,ServiceError,22,198,0,20,2,47,0,21,0,11
library,universum.studios.android.officium.service,ServiceResponse,0,3,0,0,0,1,0,1,0,1
library,universum.studios.android.officium.service,ErrorResponse,0,52,0,4,0,12,0,7,0,5
library,universum.studios.android.officium.service.auth,AuthTokenProvider.new AuthTokenProvider() {...},0,5,0,0,0,2,0,2,0,2
library,universum.studios.android.officium.service.auth,AuthTokenProvider,0,5,0,0,0,1,0,1,0,1
library,universum.studios.android.officium.service.auth,AuthRequestInterceptor,0,38,1,3,0,10,1,3,0,2
library,universum.studios.android.officium.service.adapter,ServiceCallAdapterFactory,0,32,0,4,0,9,0,5,0,3
library,universum.studios.android.officium.service.adapter,ServiceCallAdapter,0,14,0,0,0,5,0,3,0,3
library,universum.studios.android.officium.sync,SyncTask.Builder,0,16,0,0,0,6,0,3,0,3
library,universum.studios.android.officium.sync,BaseSyncAdapter,0,298,0,20,0,95,0,29,0,19
library,universum.studios.android.officium.sync,SyncTask.EmptyRequest,0,6,0,0,0,2,0,1,0,1
library,universum.studios.android.officium.sync,BaseSyncManager,9,157,4,16,0,41,3,23,0,16
library,universum.studios.android.officium.sync,SyncEvent,0,31,0,0,0,9,0,1,0,1
library,universum.studios.android.officium.sync,SyncHandler,0,54,0,2,0,16,0,6,0,5
library,universum.studios.android.officium.sync,SyncOperation,0,15,0,0,0,5,0,1,0,1
library,universum.studios.android.officium.sync,SyncEvent.Builder,0,39,0,0,0,15,0,7,0,7
library,universum.studios.android.officium.sync,SyncTask,0,278,0,29,0,66,0,33,0,16
library,universum.studios.android.officium.sync,SyncExtras,0,45,0,0,0,6,0,2,0,2
library,universum.studios.android.officium.sync,SyncOperation.Builder,0,48,0,6,0,11,0,8,0,5
library,universum.studios.android.officium.account,UserAccountManager.DeleteAccountTask,51,0,4,0,12,0,5,0,3,0
library,universum.studios.android.officium.account,UserAccountManager.new Runnable() {...},15,0,0,0,3,0,2,0,2,0
library,universum.studios.android.officium.account,UserAccountManager.new Runnable() {...},15,0,0,0,3,0,2,0,2,0
library,universum.studios.android.officium.account,SingleUserAccountManager,170,0,28,0,40,0,29,0,15,0
library,universum.studios.android.officium.account,UserAccountManager,610,0,72,0,117,0,68,0,32,0
library,universum.studios.android.officium.account,UserAccount,159,0,22,0,36,0,32,0,21,0
library,universum.studios.android.officium.account,BaseAccountAuthenticator,32,0,0,0,9,0,8,0,8,0
library,universum.studios.android.officium.account,UserAccountManager.CreateAccountTask,51,0,4,0,12,0,5,0,3,0
library,universum.studios.android.officium.account,UserAccountManager.TaskResult,9,0,0,0,4,0,1,0,1,0
library,universum.studios.android.officium.event,MainEventBus,9,27,1,1,1,8,1,3,0,3
library,universum.studios.android.officium.event,SimpleEventBus,0,30,0,0,0,12,0,6,0,6
library,universum.studios.android.officium.event,MainEventBus.new Runnable() {...},16,0,0,0,3,0,2,0,2,0
library,universum.studios.android.officium,OfficiumLogging,0,99,0,2,0,35,0,19,0,18
